studentId,grade,classNo,groupId,role
101vip,1,1,G1,merchant
102vip,1,2,G1,merchant
103vip,1,3,G1,merchant
104vip,1,4,G1,merchant
105vip,1,5,G1,merchant
106vip,1,6,G2,merchant
107vip,1,7,G2,merchant
108vip,1,8,G2,merchant
109vip,1,9,G2,merchant
110vip,1,10,G2,merchant
201vip,2,1,G3,merchant
202vip,2,2,G3,merchant
203vip,2,3,G3,merchant
204vip,2,4,G3,merchant
205vip,2,5,G4,merchant
206vip,2,6,G4,merchant
207vip,2,7,G4,merchant
208vip,2,8,G4,merchant
209vip,2,9,G4,merchant
210vip,2,10,G4,merchant
301vip,3,1,G5,merchant
302vip,3,2,G5,merchant
303vip,3,3,G5,merchant
304vip,3,4,G6,merchant
305vip,3,5,G6,merchant
306vip,3,6,G6,merchant
307vip,3,7,G7,merchant
308vip,3,8,G7,merchant
309vip,3,9,G7,merchant
310vip,3,10,G6,merchant
root01,0,0,,merchant
root02,0,0,,merchant
root03,0,0,,merchant
root04,0,0,,merchant
root05,0,0,,merchant
root06,0,0,,merchant
root07,0,0,,merchant
root08,0,0,,merchant
root09,0,0,,merchant
root10,0,0,,merchant
