studentId,grade,classNo,groupId,role
201lion,2,1,G3,student
201rose,2,1,G3,student
201mars,2,1,G3,student
201hope,2,1,G3,student
201swan,2,1,G3,student
201lily,2,1,G3,student
201nova,2,1,G3,student
201kind,2,1,G3,student
201orca,2,1,G3,student
201leaf,2,1,G3,student
201star,2,1,G3,student
201wise,2,1,G3,student
201puma,2,1,G3,student
201sage,2,1,G3,student
201luna,2,1,G3,student
201wish,2,1,G3,student
201deer,2,1,G3,student
201pine,2,1,G3,student
201vega,2,1,G3,student
201pure,2,1,G3,student
201dove,2,1,G3,student
201mint,2,1,G3,student
201orbi,2,1,G3,student
201brav,2,1,G3,student
201seal,2,1,G3,student
201oliv,2,1,G3,student
201gala,2,1,G3,student
201hero,2,1,G3,student
201hawk,2,1,G3,student
201glow,2,1,G3,student
201halo,2,1,G3,student
202lion,2,2,G3,student
202rose,2,2,G3,student
202mars,2,2,G3,student
202hope,2,2,G3,student
202swan,2,2,G3,student
202lily,2,2,G3,student
202nova,2,2,G3,student
202kind,2,2,G3,student
202orca,2,2,G3,student
202leaf,2,2,G3,student
202star,2,2,G3,student
202wise,2,2,G3,student
202puma,2,2,G3,student
202sage,2,2,G3,student
202luna,2,2,G3,student
202wish,2,2,G3,student
202deer,2,2,G3,student
202pine,2,2,G3,student
202vega,2,2,G3,student
202pure,2,2,G3,student
202dove,2,2,G3,student
202mint,2,2,G3,student
202orbi,2,2,G3,student
202brav,2,2,G3,student
202seal,2,2,G3,student
202oliv,2,2,G3,student
202gala,2,2,G3,student
202hero,2,2,G3,student
202hawk,2,2,G3,student
202glow,2,2,G3,student
202halo,2,2,G3,student
203lion,2,3,G3,student
203rose,2,3,G3,student
203mars,2,3,G3,student
203hope,2,3,G3,student
203swan,2,3,G3,student
203lily,2,3,G3,student
203nova,2,3,G3,student
203kind,2,3,G3,student
203orca,2,3,G3,student
203leaf,2,3,G3,student
203star,2,3,G3,student
203wise,2,3,G3,student
203puma,2,3,G3,student
203sage,2,3,G3,student
203luna,2,3,G3,student
203wish,2,3,G3,student
203deer,2,3,G3,student
203pine,2,3,G3,student
203vega,2,3,G3,student
203pure,2,3,G3,student
203dove,2,3,G3,student
203mint,2,3,G3,student
203orbi,2,3,G3,student
203brav,2,3,G3,student
203seal,2,3,G3,student
203oliv,2,3,G3,student
203gala,2,3,G3,student
203hero,2,3,G3,student
203hawk,2,3,G3,student
203glow,2,3,G3,student
